index,y_pred
0,0.6187426998960995
1,0.881692968060321
2,0.21704341162792495
3,0.1417600893037016
4,0.93108880623765
5,0.28439030996790016
6,0.18240719929265495
7,0.24152787446009139
8,0.21013444863969347
9,0.1929970783432956
10,0.22519378734509918
11,0.20949078811265892
12,0.3653448433836974
13,0.9147110406307799
14,0.27852640161125114
15,0.24611288105347665
16,0.267747336662252
17,0.2752874377182358
18,0.23458949220984826
19,0.22794107681762305
20,0.22570505373554792
21,0.24503970921586146
22,0.1342490618730895
23,0.19675332816039812
24,0.05238739208491384
25,0.2220905601224275
26,0.11490903556249896
27,0.22570505373554792
28,0.6561046189654591
29,0.21112995332584858
30,0.13727621895332326
31,0.23550687131506237
32,0.5364649537466241
33,0.22251673084616402
34,0.7179140641473812
35,0.8681255448752906
36,0.15554113238790085
37,0.301839887179116
38,0.3122444367531094
39,0.321818917955364
40,0.18240719929265495
41,0.2029814783936913
42,0.20940453932442923
43,0.232742957247852
44,0.21071506985678912
45,0.8047744366138383
46,0.2339570391183649
47,0.22078649783446447
48,0.8447850298486503
49,0.22078649783446447
50,0.9424525297624821
51,0.8930143198132776
52,0.5401044553391047
53,0.36047179965899906
54,0.23098371721322997
55,0.23520613258652528
56,0.2329916646353085
57,0.21870837855524614
58,0.24613176551247523
59,0.13385134419770298
60,0.19032630723387797
61,0.21139855117914017
62,0.19939665478101937
63,0.2628365226024997
64,0.22344059707818803
65,0.35604965312143544
66,0.935493666756
67,0.3383541854862223
68,0.8786192334540714
69,0.5506351623032429
70,0.8111911615079594
71,0.1418866986842569
72,0.2540949634830749
73,0.33788177683921594
74,0.2795141032548483
75,0.23267187679542956
76,0.21428985604215978
77,0.5352119505222896
78,0.20250778765166724
79,0.2411081287766198
80,0.20395748161437133
81,0.21013444863969347
82,0.2825050312699337
83,0.23001976257569484
84,0.3533405342100275
85,0.1928722381726005
86,0.19032630723387797
87,0.17333767148128187
88,0.8915319905297221
89,0.2176797433816222
90,0.23220270733248494
91,0.2752874377182358
92,0.19668934822526712
